"","Parameter","Estimates","Standard Error","$z$-value","$p$-value"
"1","$\alpha_1$",11.5095372034361,0.208756115468808,55.1338923776625,0
"2","$\alpha_2$",0.279127894108736,0.0220434711832595,12.6626107017444,9.52772794705522e-37
"3","$\alpha_{21}$",-0.0187190048166311,0.0307744893578108,-0.608263701762448,0.543012591232918
"4","$\alpha_3$",5.73887204769964,0.252539625440737,22.7246398963491,2.55717487107972e-114
"5","$\alpha_4$",1.43790138741726,0.289640116566589,4.96444140563894,6.88990828629225e-07
"6","$\alpha_5$",13.0848841651945,1.52122720323613,8.60153180100832,7.86590995763213e-18
"7","$\alpha_6$",0.202511296344314,0.0577774099610374,3.50502551915842,0.000456563518176681
"8","$\alpha_7$",2.57557080666094,0.182183452246817,14.1372379044153,2.23901352107276e-45
"9","$\beta_0$",10.9012905061821,1.78237689086302,6.11615341405358,9.58610442704602e-10
"10","$\beta_w$",-2.25403139586451,0.410044752525709,-5.49703753548995,3.86224514381646e-08
"11","$A_{11}$",1.2575439106235,NA,NA,NA
"12","$A_{22}$",0.00721195096815246,NA,NA,NA
"13","$A_{33}$",1.17820613586628,NA,NA,NA
"14","$A_{44}$",0.505899313588026,NA,NA,NA
"15","$A_{55}$",2.99352933645733,NA,NA,NA
"16","$A_{66}$",0.00559391539534643,NA,NA,NA
"17","$A_{77}$",0.2848020629103,NA,NA,NA
"18","$\sigma_1$",0.362556332699207,NA,NA,NA
"19","$b$",3.78466537631865,NA,NA,NA
